Backlog ID,Method Code,Short Code,Canonical Name,Reference Label,Category Code,Category,Family Name,Class,Phase,Priority,Evidence Grade,Definition / What to try,Mechanism,Expected Direction,Failure Mode,Minimum Viable Experiment,Primary Metrics,Source IDs,Status
H144,AIA-004,FMHO,Face/Mouth/Hand/Object Detector,AIA-004 / FMHO — Face/Mouth/Hand/Object Detector,AIA,AI / Adaptive,AI and Adaptive Systems,System Module,Pilot first,P0,Strong practical / direct test needed,Detect visual regions that should not be covered.,Automates safe zones.,Fewer obstruction failures.,Detection errors in motion/low light.,Manual vs CV safe-zone detection.,Occlusion errors; readability,S14; S18; S32,Backlog
H145,AIA-005,VLP,Visual Load Predictor,AIA-005 / VLP — Visual Load Predictor,AIA,AI / Adaptive,AI and Adaptive Systems,System Module,Pilot second,P1,Speculative / direct test needed,Estimate per-frame visual complexity to choose word count.,Controls visual-channel load.,Better comprehension in busy scenes.,Metric may not match human load.,Human-coded vs model-coded load.,Prediction validity; recall,S12; S15,Backlog
H146,AIA-006,GSWE,Gaze Simulation Without Eye Tracker,AIA-006 / GSWE — Gaze Simulation Without Eye Tracker,AIA,AI / Adaptive,AI and Adaptive Systems,Adaptive System,Explore later,P2,Speculative / direct test needed,Use saliency/meaning maps to simulate likely gaze conflict.,Low-cost proxy for early testing.,Catches major layout failures.,Cannot replace real gaze data.,Model score vs user gaze subset.,Correlation with gaze/errors,S11; S12,Backlog
H147,AIA-007,ABG,Automatic A/B Generator,AIA-007 / ABG — Automatic A/B Generator,AIA,AI / Adaptive,AI and Adaptive Systems,System Module,Pilot second,P1,Strong practical / direct test needed,Generate and track variants across platforms.,Creates evidence loop at scale.,Faster learning and optimization.,Platform algorithms confound results.,Randomized content batches.,Variant lift; confidence intervals,S25,Backlog
H148,AIA-008,BRAS,BCC+ Rubric Auto-Scorer,AIA-008 / BRAS — BCC+ Rubric Auto-Scorer,AIA,AI / Adaptive,AI and Adaptive Systems,System Module,Pilot second,P1,Moderate adjacent,"Score compression, anchors, placement, load, contrast, muted clarity.",Standardizes human review.,Better pre-publication quality.,Scores may reward rules over outcomes.,Rubric vs no rubric production.,Failure rate; pilot performance,S02; S09; S28,Backlog
H149,AIA-009,PSZT,Platform Safe-Zone Templates,AIA-009 / PSZT — Platform Safe-Zone Templates,AIA,AI / Adaptive,AI and Adaptive Systems,Adaptive System,Pilot first,P0,Strong practical / direct test needed,Reusable templates for TikTok/Reels/Shorts/Stories UI zones.,Prevents UI occlusion.,Higher readability across platforms.,UI changes often.,Template vs manual export.,Occlusion rate by platform,S02; S28,Backlog
H150,AIA-010,CRO,Compression Ratio Optimizer,AIA-010 / CRO — Compression Ratio Optimizer,AIA,AI / Adaptive,AI and Adaptive Systems,System Module,Explore later,P2,Speculative / future,Suggest percent transcript to display based on speech rate/visual load.,Data-driven text density.,Closer to optimal workload.,Needs pilot data.,Heuristic vs learned optimizer.,Gist/effort efficiency,S06; S07; S10,Backlog
H151,AIA-011,RWET,Remote Webcam Eye-Tracking Pilot,AIA-011 / RWET — Remote Webcam Eye-Tracking Pilot,AIA,AI / Adaptive,AI and Adaptive Systems,Adaptive System,Explore later,P3,Speculative / direct test needed,Use webcam gaze estimation for rough large-sample placement tests.,Scales beyond lab eye-tracking.,Cheap gaze proxy.,Lower accuracy than lab hardware.,Webcam vs self-report vs subset eye tracker.,Gaze estimates; recall,S30,Backlog
H152,AIA-012,MPFE,Meaning-Per-Fixation Estimator,AIA-012 / MPFE — Meaning-Per-Fixation Estimator,AIA,AI / Adaptive,AI and Adaptive Systems,Adaptive System,Explore later,P3,Speculative / future,Combine recall results and gaze/text dwell to estimate efficiency.,"Optimizes for cognitive value, not watch time alone.",Better metric alignment.,Requires eye/gaze data.,Estimate vs actual recall.,Predictive validity,S30; S11,Backlog
H153,AIA-013,AR,Adaptive Renderer,AIA-013 / AR — Adaptive Renderer,AIA,AI / Adaptive,AI and Adaptive Systems,System Module,Explore later,P2,Speculative / future,Renders overlays based on detected shot type and visual load.,Turns research into production system.,Consistent scalable output.,May create unnatural movement/style.,Manual vs adaptive renderer.,Quality; retention; revision count,S12; S14,Backlog
H154,AIA-014,HLE,Human-in-the-Loop Editor,AIA-014 / HLE — Human-in-the-Loop Editor,AIA,AI / Adaptive,AI and Adaptive Systems,Adaptive System,Pilot first,P0,Strong practical / direct test needed,"AI proposes; editor approves proposition, anchor, placement, timing.",Balances speed with correctness.,Fewer hallucinations than full automation.,Still requires training/editor time.,AI-only vs human-in-loop.,Accuracy; time saved,S30,Backlog
H155,AIA-015,SRNG,Source/Risk Note Generator,AIA-015 / SRNG — Source/Risk Note Generator,AIA,AI / Adaptive,AI and Adaptive Systems,System Module,Explore later,P2,Speculative / direct test needed,"For research/health/finance clips, overlay flags if claim is advice, evidence, or speculation.",Reduces misinformation risk.,Higher trust and fewer overclaims.,May reduce punchiness.,No risk note vs risk-tagged version.,Trust; comments; comprehension,S11; S12; S14; S30; S31,Backlog
H156,RET-001,HOO,Hook Card,RET-001 / HOO — Hook Card,RET,Platform / Retention,Platform Retention,Retention Method,Pilot first,P0,Moderate adjacent,Use first 0.5–1.5 sec as a semantic promise.,Reduces early uncertainty and stops scroll.,Higher 1s/3s hold.,Clickbait if promise not delivered.,Hook card vs no hook card.,1s/3s hold; comments sentiment,S25; S21,Backlog
H157,RET-002,FPR,Fast Payoff Rule,RET-002 / FPR — Fast Payoff Rule,RET,Platform / Retention,Platform Retention,Rule / Mode,Pilot first,P0,Moderate adjacent,Deliver the first useful idea within 2–3 seconds.,Feeds reward prediction without deception.,Higher retention and trust.,Can compress too aggressively.,Delayed payoff vs fast payoff.,3s hold; completion; trust,S25,Backlog
H158,RET-003,OLER,Open-Loop With Early Resolution,RET-003 / OLER — Open-Loop With Early Resolution,RET,Platform / Retention,Platform Retention,Retention Method,Pilot second,P1,Speculative / direct test needed,"Open a gap, resolve quickly, then deepen.",Balances curiosity and cognitive comfort.,Better completion than delayed tease.,Too much tease lowers trust.,Delayed open-loop vs early-resolution.,Completion; trust,S25,Backlog
H159,RET-004,PMM,Progress Marker Microbar,RET-004 / PMM — Progress Marker Microbar,RET,Platform / Retention,Platform Retention,Retention Method,Explore later,P2,Moderate adjacent,Show Problem → Cause → Fix progress.,Reduces uncertainty about where video is going.,Higher completion for explainers.,UI clutter if overused.,With/without progress marker.,Completion; effort,S09; S25,Backlog
H160,RET-005,CC,Chapter Chips,RET-005 / CC — Chapter Chips,RET,Platform / Retention,Platform Retention,Retention Method,Explore later,P2,Moderate adjacent,"Tiny labels for 30–90s clips: Setup, Mistake, Fix, Rule.",Orient viewer over longer short-form.,Better retention in longer clips.,Too much structure for comedy.,Chapter chips vs none.,Completion; sequence recall,S09; S25,Backlog
H161,RET-006,PAY,Payoff Card,RET-006 / PAY — Payoff Card,RET,Platform / Retention,Platform Retention,Retention Method,Pilot second,P1,Moderate adjacent,Use final screen as a self-contained takeaway or checklist.,Creates save/share object.,Higher saves and delayed recall.,May reduce natural loop.,Payoff card vs normal ending.,Saves; recall,S09; S25,Backlog
H162,RET-007,CERP,Comment-Eliciting Recall Prompt,RET-007 / CERP — Comment-Eliciting Recall Prompt,RET,Platform / Retention,Platform Retention,Retention Method,Explore later,P2,Speculative / direct test needed,Ask a non-trivial answer prompt tied to video concept.,Turns engagement into retrieval.,Higher comments and recall.,Can look engagement-bait.,Recall prompt vs CTA.,Comment quality; recall,S09; S25,Backlog
H163,RET-008,PNT,Platform-Native Typography Variant,RET-008 / PNT — Platform-Native Typography Variant,RET,Platform / Retention,Platform Retention,Retention Method,Explore later,P2,Emerging direct evidence,Test clean professional vs TikTok-native emoji/non-standard style.,Matches audience expectations.,Higher engagement for some categories.,Can reduce professionalism/accessibility.,Clean vs native style.,Engagement; trust; comprehension,S21; S28,Backlog
H164,RET-009,SRMR,Scroll-Rescue Midpoint Reset,RET-009 / SRMR — Scroll-Rescue Midpoint Reset,RET,Platform / Retention,Platform Retention,Retention Method,Explore later,P2,Speculative / direct test needed,"At 40–60%, add a new semantic hook or map update.",Prevents attention decay.,Higher completion.,Feels artificial if not content-driven.,Midpoint reset vs none.,Completion curve; rewatch,S25,Backlog
H165,RET-010,LCE,Loop-Compatible Ending,RET-010 / LCE — Loop-Compatible Ending,RET,Platform / Retention,Platform Retention,Retention Method,Explore later,P2,Speculative / direct test needed,End with text that connects to first frame without hiding final meaning.,Encourages rewatch while preserving clarity.,Higher rewatch.,May annoy if obvious.,Loop ending vs hard stop.,Rewatch; recall,S25,Backlog
H166,RET-011,ERF,Ethical Retention Filter,RET-011 / ERF — Ethical Retention Filter,RET,Platform / Retention,Platform Retention,Retention Method,Pilot first,P0,Speculative / governance,Reject overlays that increase watch time by confusion instead of clarity.,Optimizes for useful attention.,Better trust and long-term audience quality.,Hard to quantify.,Qualitative review + retention metrics.,Clarification comments; trust,S25; S30,Backlog
H167,CTL-001,FTO,Full Transcript Overlay,CTL-001 / FTO — Full Transcript Overlay,CTL,Negative Control,Controls and Failure Modes,Control / Baseline,Experiment control,P0,Control,Use complete burned-in transcript as baseline.,Baseline for exact wording and accessibility-adjacent display.,"Best exact recall, worse visual efficiency.",May overload visual channel.,Compare against compression/BCC.,Exact recall; effort,S01; S06; S10,Backlog
H168,CTL-002,KHT,Keyword Highlight Transcript,CTL-002 / KHT — Keyword Highlight Transcript,CTL,Negative Control,Controls and Failure Modes,Control / Baseline,Experiment control,P0,Control,Highlight important words inside full transcript.,Commercial-style baseline.,Moderate improvement over full transcript.,Still contains too many words.,Compare to semantic compression.,Gist; effort,S08; S09,Backlog
H169,CTL-003,WWDC,Word-by-Word Dynamic Caption,CTL-003 / WWDC — Word-by-Word Dynamic Caption,CTL,Negative Control,Controls and Failure Modes,Control / Baseline,Experiment control,P0,Control,Active word highlight following speech.,Common creator-tool baseline.,May perform well for rhythm; worse for learning.,Forces tracking every word.,Compare to semantic beats.,Gist; fatigue,S19; S24,Backlog
H170,CTL-004,HBF,Heavy Bionic Formatting,CTL-004 / HBF — Heavy Bionic Formatting,CTL,Negative Control,Controls and Failure Modes,Control / Baseline,Experiment control,P0,Negative control,Apply bionic partial bolding to most words.,Tests whether heavy bionic hurts.,Likely underperforms sparse anchors.,Can look novel but noisy.,Compare to BCC and compression.,Recall; saccades; effort,S22; S23,Backlog
H171,CTL-005,ROW,RSVP One-Word Captions,CTL-005 / ROW — RSVP One-Word Captions,CTL,Negative Control,Controls and Failure Modes,Control / Baseline,Experiment control,P1,Negative control,One word at a time in same spot.,Tests speed-reading style in video context.,Likely weak for comprehension.,Suppresses parafoveal context/rereading.,Compare to semantic beats.,Comprehension; fatigue,S24,Backlog
H172,CTL-006,CKT,Constant Kinetic Text,CTL-006 / CKT — Constant Kinetic Text,CTL,Negative Control,Controls and Failure Modes,Control / Baseline,Experiment control,P1,Negative control,Every word moves or pops.,Tests motion overload.,"Likely higher attention, lower comprehension.",Motion becomes noise.,Compare to logic motion.,Recall; fatigue; retention,S19,Backlog
H173,CTL-007,NNO,No Overlay / Native Captions Only,CTL-007 / NNO — No Overlay / Native Captions Only,CTL,Negative Control,Controls and Failure Modes,Control / Baseline,Experiment control,P0,Control,Baseline platform state.,Determines value of any overlay.,May win for visual recall.,May lose muted gist.,Compare to all variants.,Gist; visual recall; retention,S01; S05,Backlog
H174,CTL-008,COM,Color-Only Meaning,CTL-008 / COM — Color-Only Meaning,CTL,Negative Control,Controls and Failure Modes,Control / Baseline,Experiment control,P1,Negative control,Use color without labels/icons for semantic roles.,Accessibility negative control.,Likely failure for color-blind/low contrast contexts.,Meaning can be missed.,Compare to color+label.,Role ID; access rating,S28,Backlog
H175,CTL-009,BOP,Bottom-Only Placement,CTL-009 / BOP — Bottom-Only Placement,CTL,Negative Control,Controls and Failure Modes,Control / Baseline,Experiment control,P0,Control,Always lower-third regardless of content.,Placement baseline.,Can block UI/captions/action.,Likely loses to gaze-safe placement.,Compare to gaze-safe.,Occlusion; readability,S02; S14,Backlog
H176,CTL-010,RSP,Random Saliency Pop,CTL-010 / RSP — Random Saliency Pop,CTL,Negative Control,Controls and Failure Modes,Control / Baseline,Experiment control,P1,Negative control,Make random words visually pop.,Tests whether salience without meaning helps.,Likely harms trust/comprehension.,Misguides attention.,Compare to semantic cueing.,Gist; trust,S09; S11,Backlog
H177,CTL-011,HDCS,High-Density Caption Stack,CTL-011 / HDCS — High-Density Caption Stack,CTL,Negative Control,Controls and Failure Modes,Control / Baseline,Experiment control,P1,Negative control,Multiple overlays/captions/stickers simultaneously.,Stress test for visual crowding.,Likely high failure rate.,Overload/crowding.,Compare to budgeted text.,Readability; effort,S15; S17,Backlog
H178,CTL-012,ENS,Emoji/Nonstandard Subtitle Variant,CTL-012 / ENS — Emoji/Nonstandard Subtitle Variant,CTL,Negative Control,Controls and Failure Modes,Control / Baseline,Experiment control,P2,Emerging direct evidence,Use platform-native non-standard typography and emoji.,Tests TikTok-native engagement signal.,Could increase engagement for informal categories.,May harm accessibility/professionalism.,Compare with clean captioning by category.,Engagement; trust; comprehension,S21; S28,Backlog
